Paso 10: 1,6,7,8,45,45,46,78,96,98,99,999,
Paso 11: 1,6,7,8,45,45,46,78,96,98,99,999,
Conjunto Inicial: 45,98,46,78,96,1,6,45,7,8,99,999,

ORDENANDO CON INSERTION SORT(DESCENDENTE)

Paso 1: 98,45,46,78,96,1,6,45,7,8,99,999,
Paso 2: 98,46,45,78,96,1,6,45,7,8,99,999,
Paso 3: 98,78,46,45,96,1,6,45,7,8,99,999,
Paso 4: 98,96,78,46,45,1,6,45,7,8,99,999,
Paso 5: 98,96,78,46,45,1,6,45,7,8,99,999,
Paso 6: 98,96,78,46,45,6,1,45,7,8,99,999,
Paso 7: 98,96,78,46,45,45,6,1,7,8,99,999,
Paso 8: 98,96,78,46,45,45,7,6,1,8,99,999,
Paso 9: 98,96,78,46,45,45,8,7,6,1,99,999,
Paso 10: 99,98,96,78,46,45,45,8,7,6,1,999,
Paso 11: 999,99,98,96,78,46,45,45,8,7,6,1,
